FIPS,Total_Actual_Costs,Total_Standardized_Costs,Part_B_Drugs_Per_Capita_Actual_Costs,Total_Population_Based_Payment_Reduction_Costs,PQI03_Diabetes_LT_Complication_Admission_Rate_(age_<_65),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_65-74),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_75+),PQI07_Hypertension_Admission_Rate_(age_<_65),PQI07_Hypertension_Admission_Rate_(age_65-74),PQI07_Hypertension_Admission_Rate_(age_75+)
26121,177322702.62,171277074.23,267.69, ,,,,,,
26123,42609815.01,40637413.65,131.25, ,,,,,,
26125,1398069395.44,1295130943.43,343.41, ,,,,,,
26127,27981344.89,27776857.06,236.71, ,,,,,,
26129,41093857.93,41234658.45,205.9, ,,,,,,
26131,13045447.64,13146957.38,156.23, ,,,,,,
26133,25832584.02,25552706.75,160.33, ,,,,,,
26135,16441378.34,16261509.01,209.99, ,,,,,,
26137,26008667.64,25957472.21,148.09, ,,,,,,
26139,136313200.75,132445922.21,285.32, ,,,,,,
26141,25781799.82,25299987.24,259.09, ,,,,,,
26143,56247004.68,55929073.87,282.9, ,,,,,,
26145,274902080.14,271851220.71,212.92, ,,,,,,
26151,61511995.0,61927189.28,271.9, ,,,,,,
26153,14574371.74,14822476.1,213.95, ,,,,,,
26155,77955627.27,74860995.94,228.46, ,,,,,,
26147,187201656.49,184391764.46,317.69, ,,,,,,
26149,65715012.08,63063118.4,140.59, ,,,,,,
26157,78130781.69,77575091.63,229.83, ,,,,,,
26999,,,,*,,,,,,
26159,75754374.03,71844935.81,313.51, ,,,,,,
26161,265667935.9,237750320.25,195.53, ,,,,,,
26163,2723310805.09,2488077888.17,234.38, ,,,,,,
26165,35970230.1,36041955.09,269.64, ,,,,,,
27001,16763914.66,16865419.34,124.06, ,,,,,,
27003,123777309.14,116792598.16,356.56, ,,,,,,
27005,25259778.74,25759809.34,363.47, ,,,,,,
27007,35210607.67,33408078.55,226.26, ,,,,,,
27009,21443593.95,20308664.52,232.35, ,,,,,,
27011,8622303.97,8685395.85,138.4, ,,,,,,
27013,38260374.5,37041824.7,211.19, ,,,,,,
27015,28167769.16,28364829.18,159.97, ,,,,,,
27017,29342882.06,28987443.04,213.54, ,,,,,,
27019,30218481.19,28877838.04,251.97, ,,,,,,
27021,33873873.53,32719678.29,278.27, ,,,,,,
27023,11589293.23,11727369.21,112.02, ,,,,,,
27025,26494399.07,24771363.38,210.05, ,,,,,,
27027,32997629.82,35386678.75,337.89, ,,,,,,
27029,7975276.39,8129203.54,211.17, ,,,,,,
27031,6381296.94,6342964.79,108.61, ,,,,,,
27033,13341970.06,13585362.58,90.78, ,,,,,,
27035,61763087.47,60365271.57,274.65, ,,,,,,
27037,164772192.94,154933883.48,329.71, ,,,,,,
27039,12738515.28,11337810.52,165.24, ,,,,,,
27041,30981388.59,30484563.55,163.31, ,,,,,,
27043,16614766.06,16343474.42,111.8, ,,,,,,
27045,19579119.85,18404968.82,207.57, ,,,,,,
27047,32065477.56,30365759.31,115.88, ,,,,,,
27049,36640798.99,34400228.45,176.04, ,,,,,,
27051,7431338.46,7434741.45,158.39, ,,,,,,
27053,568238564.36,524364050.21,297.65, ,,,,,,
27055,13916629.3,13396704.28,223.14, ,,,,,,
27057,21180620.75,21537847.58,414.87, ,,,,,,
27059,17957480.5,16949185.81,183.09, ,,,,,,
27061,46411952.75,44824333.44,77.58, ,,,,,,
27063,11870510.7,12005311.41,101.21, ,,,,,,
27065,11072208.9,10852700.57,131.18, ,,,,,,
27067,30000886.44,29345997.69,240.08, ,,,,,,
27069,4496961.89,4613446.32,205.16, ,,,,,,
27071,14755889.13,14748390.94,208.67, ,,,,,,
27073,10172484.78,10491980.05,136.86, ,,,,,,
27075,10617843.23,10452470.22,129.63, ,,,,,,
27077,5940810.5,6071456.97,109.68, ,,,,,,
27079,19781222.77,19474507.12,125.5, ,,,,,,
27081,9605246.39,9974340.38,108.76, ,,,,,,
27083,24891403.48,25504831.34,208.45, ,,,,,,
27087,4062797.0,4261766.22,468.05, ,,,,,,
27089,9861878.83,10069131.36,229.08, ,,,,,,
27091,22374562.14,21807257.11,102.53, ,,,,,,
27085,26206430.44,25649759.52,119.28, ,,,,,,
27093,15786281.96,15417456.38,114.53, ,,,,,,
